child,cohort,gender,age,unoccupied,solitary,onlooker,parallel,associative,cooperative,soc_particip,bossy,pos_affect,awkward,predom,prop_unocc,prop_solitary,prop_onlooker,prop_parallel,prop_assoc,prop_coop
125,1,male,3,1,19,1,8,1,0,3,NA,NA,NA,solitary,0.03333333333333333,0.6333333333333333,0.03333333333333333,0.26666666666666666,0.03333333333333333,0
126,1,male,3,13,10,4,1,2,0,2,NA,NA,NA,unoccupied,0.43333333333333335,0.3333333333333333,0.13333333333333333,0.03333333333333333,0.06666666666666667,0
127,1,female,3,2,9,7,5,2,5,4,NA,NA,NA,solitary,0.06666666666666667,0.3,0.23333333333333334,0.16666666666666666,0.06666666666666667,0.16666666666666666
128,1,male,3,0,10,0,2,2,15,5,NA,NA,NA,cooperative,0,0.3333333333333333,0,0.06666666666666667,0.06666666666666667,0.5
129,1,female,3,0,9,4,6,3,0,3,NA,NA,NA,solitary,0,0.3,0.13333333333333333,0.2,0.1,0
130,1,male,3,0,19,0,2,3,6,3,NA,NA,NA,solitary,0,0.6333333333333333,0,0.06666666666666667,0.1,0.2
131,1,female,3,5,8,8,3,4,2,4,NA,NA,NA,NA,0.16666666666666666,0.26666666666666666,0.26666666666666666,0.1,0.13333333333333333,0.06666666666666667
132,1,female,3,0,0,0,22,4,4,5,NA,NA,NA,parallel,0,0,0,0.7333333333333333,0.13333333333333333,0.13333333333333333
133,1,female,3,0,0,0,16,5,9,5,NA,NA,NA,parallel,0,0,0,0.5333333333333333,0.16666666666666666,0.3
134,1,female,3,0,2,5,5,7,3,5,NA,NA,NA,associative,0,0.06666666666666667,0.16666666666666666,0.16666666666666666,0.23333333333333334,0.1
135,1,female,3,0,5,2,10,7,4,4,NA,NA,NA,parallel,0,0.16666666666666666,0.06666666666666667,0.3333333333333333,0.23333333333333334,0.13333333333333333
136,1,female,3,0,1,3,17,8,1,4,NA,NA,NA,parallel,0,0.03333333333333333,0.1,0.5666666666666667,0.26666666666666666,0.03333333333333333
137,1,female,3,5,6,2,6,8,3,5,NA,NA,NA,associative,0.16666666666666666,0.2,0.06666666666666667,0.2,0.26666666666666666,0.1
138,1,female,3,0,8,4,0,17,0,3,NA,NA,NA,associative,0,0.26666666666666666,0.13333333333333333,0,0.5666666666666667,0
139,1,female,3,0,1,3,2,24,0,5,NA,NA,NA,associative,0,0.03333333333333333,0.1,0.06666666666666667,0.8,0
140,1,female,3,0,1,0,0,27,2,5,NA,NA,NA,associative,0,0.03333333333333333,0,0,0.9,0.06666666666666667
141,1,male,4,0,28,2,0,0,0,3,NA,NA,NA,solitary,0,0.9333333333333333,0.06666666666666667,0,0,0
142,1,female,4,7,9,0,14,0,0,4,NA,NA,NA,parallel,0.23333333333333334,0.3,0,0.4666666666666667,0,0
143,1,female,4,2,6,8,8,2,4,5,NA,NA,NA,NA,0.06666666666666667,0.2,0.26666666666666666,0.26666666666666666,0.06666666666666667,0.13333333333333333
144,1,male,4,0,17,1,9,3,0,4,NA,NA,NA,solitary,0,0.5666666666666667,0.03333333333333333,0.3,0.1,0
145,1,female,4,0,1,5,10,5,9,4,NA,NA,NA,parallel,0,0.03333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3
146,1,male,4,0,0,1,4,12,13,5,NA,NA,NA,cooperative,0,0,0.03333333333333333,0.13333333333333333,0.4,0.43333333333333335
147,1,male,4,0,0,0,4,12,14,5,NA,NA,NA,cooperative,0,0,0,0.13333333333333333,0.4,0.4666666666666667
148,1,male,4,0,2,0,4,24,0,5,NA,NA,NA,associative,0,0.06666666666666667,0,0.13333333333333333,0.8,0
149,1,male,5,4,2,1,7,1,15,3,NA,NA,NA,cooperative,0.13333333333333333,0.06666666666666667,0.03333333333333333,0.23333333333333334,0.03333333333333333,0.5
150,1,male,5,0,4,6,11,2,7,4,NA,NA,NA,parallel,0,0.13333333333333333,0.2,0.36666666666666664,0.06666666666666667,0.23333333333333334
151,2,female,4,4,0,14,4,0,8,3,NA,NA,NA,onlooker,0.13333333333333333,0,0.4666666666666667,0.13333333333333333,0,0.26666666666666666
152,2,female,4,2,0,2,6,19,0,3,NA,NA,NA,associative,0.06666666666666667,0,0.06666666666666667,0.2,0.6333333333333333,0
153,2,female,3,0,16,0,0,1,13,3,NA,NA,NA,solitary,0,0.5333333333333333,0,0,0.03333333333333333,0.43333333333333335
154,2,female,3,1,2,3,0,1,23,5,NA,NA,NA,cooperative,0.03333333333333333,0.06666666666666667,0.1,0,0.03333333333333333,0.7666666666666667
155,2,male,3,0,5,6,7,2,10,5,NA,NA,NA,cooperative,0,0.16666666666666666,0.2,0.23333333333333334,0.06666666666666667,0.3333333333333333
156,2,female,3,3,19,4,0,4,0,3,NA,NA,NA,solitary,0.1,0.6333333333333333,0.13333333333333333,0,0.13333333333333333,0
157,2,male,3,3,7,4,5,5,5,5,NA,NA,NA,solitary,0.1,0.23333333333333334,0.13333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666
158,2,male,3,0,7,2,0,7,14,5,NA,NA,NA,cooperative,0,0.23333333333333334,0.06666666666666667,0,0.23333333333333334,0.4666666666666667
159,2,male,3,1,0,0,19,10,0,4,NA,NA,NA,parallel,0.03333333333333333,0,0,0.6333333333333333,0.3333333333333333,0
160,2,male,3,2,6,3,5,11,3,5,NA,NA,NA,associative,0.06666666666666667,0.2,0.1,0.16666666666666666,0.36666666666666664,0.1
161,2,male,3,0,8,0,6,12,4,5,NA,NA,NA,associative,0,0.26666666666666666,0,0.2,0.4,0.13333333333333333
162,2,female,3,1,3,3,3,15,5,5,NA,NA,NA,associative,0.03333333333333333,0.1,0.1,0.1,0.5,0.16666666666666666
163,2,male,4,0,1,0,29,0,0,5,NA,NA,NA,parallel,0,0.03333333333333333,0,0.9666666666666667,0,0
164,2,female,4,8,14,8,0,0,0,4,NA,NA,NA,solitary,0.26666666666666666,0.4666666666666667,0.26666666666666666,0,0,0
165,2,female,4,1,0,0,0,0,29,5,NA,NA,NA,cooperative,0.03333333333333333,0,0,0,0,0.9666666666666667
166,2,female,4,8,9,12,0,1,0,4,NA,NA,NA,onlooker,0.26666666666666666,0.3,0.4,0,0.03333333333333333,0
167,2,male,4,0,3,0,25,2,0,4,NA,NA,NA,parallel,0,0.1,0,0.8333333333333334,0.06666666666666667,0
168,2,female,4,0,15,4,9,2,0,3,NA,NA,NA,solitary,0,0.5,0.13333333333333333,0.3,0.06666666666666667,0
169,2,male,4,4,8,13,0,5,0,4,NA,NA,NA,onlooker,0.13333333333333333,0.26666666666666666,0.43333333333333335,0,0.16666666666666666,0
170,2,female,4,0,0,0,7,5,18,5,NA,NA,NA,cooperative,0,0,0,0.23333333333333334,0.16666666666666666,0.6
171,2,female,4,1,4,4,3,9,9,4,NA,NA,NA,NA,0.03333333333333333,0.13333333333333333,0.13333333333333333,0.1,0.3,0.3
172,2,female,4,0,1,2,8,11,8,5,NA,NA,NA,associative,0,0.03333333333333333,0.06666666666666667,0.26666666666666666,0.36666666666666664,0.26666666666666666
173,2,female,4,0,7,0,3,13,7,4,NA,NA,NA,associative,0,0.23333333333333334,0,0.1,0.43333333333333335,0.23333333333333334
174,2,male,4,0,9,3,1,17,0,4,NA,NA,NA,associative,0,0.3,0.1,0.03333333333333333,0.5666666666666667,0
175,2,female,4,2,0,0,0,28,0,5,NA,NA,NA,associative,0.06666666666666667,0,0,0,0.9333333333333333,0
176,2,female,5,0,17,0,3,7,3,3,NA,NA,NA,solitary,0,0.5666666666666667,0,0.1,0.23333333333333334,0.1
177,2,female,5,1,7,0,4,12,6,4,NA,NA,NA,associative,0.03333333333333333,0.23333333333333334,0,0.13333333333333333,0.4,0.2
178,2,male,5,0,1,2,24,3,0,3,NA,NA,NA,parallel,0,0.03333333333333333,0.06666666666666667,0.8,0.1,0
179,2,male,5,0,0,0,24,6,0,3,NA,NA,NA,parallel,0,0,0,0.8,0.2,0
180,3,male,5,0,15,7,4,4,0,3,NA,NA,NA,solitary,0,0.5,0.23333333333333334,0.13333333333333333,0.13333333333333333,0
181,3,male,5,0,8,4,5,4,9,3,NA,NA,NA,cooperative,0,0.26666666666666666,0.13333333333333333,0.16666666666666666,0.13333333333333333,0.3
182,3,female,5,2,7,5,0,9,6,4,NA,NA,NA,associative,0.06666666666666667,0.23333333333333334,0.16666666666666666,0,0.3,0.2
183,3,female,5,4,10,1,0,10,5,4,NA,NA,NA,NA,0.13333333333333333,0.3333333333333333,0.03333333333333333,0,0.3333333333333333,0.16666666666666666
184,3,female,3,2,0,2,4,4,18,5,NA,NA,NA,cooperative,0.06666666666666667,0,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.6
185,3,female,3,0,3,4,21,2,0,5,NA,NA,NA,parallel,0,0.1,0.13333333333333333,0.7,0.06666666666666667,0
186,3,female,4,2,8,3,1,11,2,4,NA,NA,NA,associative,0.06666666666666667,0.26666666666666666,0.1,0.03333333333333333,0.36666666666666664,0.06666666666666667
187,3,female,4,4,8,3,1,8,6,4,NA,NA,NA,NA,0.13333333333333333,0.26666666666666666,0.1,0.03333333333333333,0.26666666666666666,0.2
188,3,male,4,0,0,2,0,3,25,4,NA,NA,NA,cooperative,0,0,0.06666666666666667,0,0.1,0.8333333333333334
189,3,male,4,0,7,18,2,3,0,4,NA,NA,NA,onlooker,0,0.23333333333333334,0.6,0.06666666666666667,0.1,0
190,3,male,4,5,4,0,6,0,15,5,NA,NA,NA,cooperative,0.16666666666666666,0.13333333333333333,0,0.2,0,0.5
191,3,male,4,3,8,1,2,0,17,5,NA,NA,NA,cooperative,0.1,0.26666666666666666,0.03333333333333333,0.06666666666666667,0,0.5666666666666667
192,3,male,4,0,2,0,6,8,14,5,NA,NA,NA,cooperative,0,0.06666666666666667,0,0.2,0.26666666666666666,0.4666666666666667
193,3,male,4,0,0,0,4,5,21,5,NA,NA,NA,cooperative,0,0,0,0.13333333333333333,0.16666666666666666,0.7
194,3,male,4,0,28,1,0,0,1,3,NA,NA,NA,solitary,0,0.9333333333333333,0.03333333333333333,0,0,0.03333333333333333
195,3,male,4,0,22,0,2,0,6,3,NA,NA,NA,solitary,0,0.7333333333333333,0,0.06666666666666667,0,0.2
196,3,male,4,4,4,4,0,18,0,5,NA,NA,NA,associative,0.13333333333333333,0.13333333333333333,0.13333333333333333,0,0.6,0
197,3,male,4,0,5,0,6,19,0,5,NA,NA,NA,associative,0,0.16666666666666666,0,0.2,0.6333333333333333,0
