Cohort,Gender,Age,Unoccupied,Solitary,Onlooker,Parallel,Associative,Cooperative,Predom,socparticip,degpos,bossy,socawk
2,1,3,0,5,6,7,2,10,C,5,#NULL!,#NULL!,#NULL!
2,2,3,3,19,4,0,4,0,S,3,#NULL!,#NULL!,#NULL!
2,1,3,3,7,4,5,5,5,S,5,#NULL!,#NULL!,#NULL!
2,1,3,0,7,2,0,7,14,C,5,#NULL!,#NULL!,#NULL!
2,1,3,1,0,0,19,10,0,P,4,#NULL!,#NULL!,#NULL!
2,1,3,2,6,3,5,11,3,A,5,#NULL!,#NULL!,#NULL!
2,1,3,0,8,0,6,12,4,A,5,#NULL!,#NULL!,#NULL!
2,2,3,1,3,3,3,15,5,A,5,#NULL!,#NULL!,#NULL!
2,1,4,0,1,0,29,0,0,P,5,#NULL!,#NULL!,#NULL!
2,2,4,8,14,8,0,0,0,S,4,#NULL!,#NULL!,#NULL!
2,2,4,1,0,0,0,0,29,C,5,#NULL!,#NULL!,#NULL!
2,2,4,8,9,12,0,1,0,O,4,#NULL!,#NULL!,#NULL!
2,1,4,0,3,0,25,2,0,P,4,#NULL!,#NULL!,#NULL!
2,2,4,0,15,4,9,2,0,S,3,#NULL!,#NULL!,#NULL!
2,1,4,4,8,13,0,5,0,O,4,#NULL!,#NULL!,#NULL!
2,2,4,0,0,0,7,5,18,C,5,#NULL!,#NULL!,#NULL!
2,2,4,1,4,4,3,9,9,C,4,#NULL!,#NULL!,#NULL!
2,2,4,0,1,2,8,11,8,A,5,#NULL!,#NULL!,#NULL!
2,2,4,0,7,0,3,13,7,A,4,#NULL!,#NULL!,#NULL!
2,1,4,0,9,3,1,17,0,A,4,#NULL!,#NULL!,#NULL!
2,2,4,2,0,0,0,28,0,A,5,#NULL!,#NULL!,#NULL!
2,2,5,0,17,0,3,7,3,S,3,#NULL!,#NULL!,#NULL!
2,2,5,1,7,0,4,12,6,A,4,#NULL!,#NULL!,#NULL!
2,1,5,0,1,2,24,3,0,P,3,#NULL!,#NULL!,#NULL!
2,1,5,0,0,0,24,6,0,P,3,#NULL!,#NULL!,#NULL!
3,1,5,0,15,7,4,4,0,S,3,#NULL!,#NULL!,#NULL!
3,1,5,0,8,4,5,4,9,C,3,#NULL!,#NULL!,#NULL!
3,2,5,2,7,5,0,9,6,A,4,#NULL!,#NULL!,#NULL!
3,2,5,4,10,1,0,10,5,A,4,#NULL!,#NULL!,#NULL!
3,2,3,2,0,2,4,4,18,C,5,#NULL!,#NULL!,#NULL!
3,2,3,0,3,4,21,2,0,P,5,#NULL!,#NULL!,#NULL!
3,2,4,2,8,3,1,11,2,A,4,#NULL!,#NULL!,#NULL!
3,2,4,4,8,3,1,8,6,A,4,#NULL!,#NULL!,#NULL!
3,1,4,0,0,2,0,3,25,C,4,#NULL!,#NULL!,#NULL!
3,1,4,0,7,18,2,3,0,O,4,#NULL!,#NULL!,#NULL!
3,1,4,5,4,0,6,0,15,C,5,#NULL!,#NULL!,#NULL!
3,1,4,3,8,1,2,0,17,C,5,#NULL!,#NULL!,#NULL!
3,1,4,0,2,0,6,8,14,C,5,#NULL!,#NULL!,#NULL!
3,1,4,0,0,0,4,5,21,C,5,#NULL!,#NULL!,#NULL!
